COURSECODE,COURSETITLE
CMPS142,PRINCIPLES OF PROGRAMMING I
CMPS145,INTRODUCTION TO COMPUTER SYSTEMS
HIST201,BELIZEAN HISTORY
CMPS247,COMPUTER NETWORKING I
MATH125,ADVANCED ALGEBRA
CMPS156,DATA STRUCTURES
CMPS245,DATABASE MANAGEMENT SYSTEMS I
MATH210,DIFFERENTIAL CALCULUS
CMPS146,PROGRAMMING FOUNDATIONS
CMPS248,SOFTWARE IN SOCIETY
CMPS155,COMPUTER TECHNOLOGY
CMPS157,SYSTEM ANALYSIS
CMPS260,PROJECT
SOCL221,INTRODUCTION TO SOCIOLOGY
MATH124,TRIGONOMETRY
CMPS246,COMPUTER ARCHITECTURE
CMPS256,OPERATING SYSTEMS
CMPS255,OBJECT ORIENTED SYSTEM DEV.
CMPS2171,DATABASE MANAGEMENT SYSTEMS I
CMPS2191,NETWORKING 1
CMPS1131,PROGRAMMING I
PHYS1015,GENERAL PHYSICS I
ENGL111,COLLEGE ENGLISH I
ENGL112,COLLEGE ENGLISH II
MATH1201,TRIGONOMETRY
MATH1302,CALCULUS I
MATH2201,CALCULUS II
PHYS1015L,GENERAL PHYSICS I LAB
SPAN111,SPANISH 1
GSTU101,STUDY SKILLS
MAT103,TRIGONOMETRY 1
CMPS213,BASIC PC REPAIR
CMPS1232,PRINCIPLES OF PROGRAMMING II
MGMT101,APPLIED MANAGEMENT I
MATH101,ALGEBRA 1
CMPS244,WEB APPLICATION DEV. 1
CMPS144,PRINCIPLES OF PROGRAMMING II
PSYC221,INTRO TO PSYCHOLOGY
BIOL090,DEVELOPMENTAL BIOLOGY
CMPS140,INTRODUCTION TO COMPUTER STUDIES
CHEM090,DEVELOPMENTAL CHEMISTRY
ENGL1014,COLLEGE ENGLISH I
MATH1151,ALGEBRA
CMPS1134,FUNDAMENTALS OF COMPUTING
NRMP101,ENVIRON. CONSERV & DEVELOPMENT I
CMPS150,COMPUTER BUSINESS APPLICATION
MATH121,INTERMEDIATE ALGEBRA
BCOM210,BUSINESS COMMUNICATION
ACTG202,PRINCIPLES OF FINANCIAL ACTG II
MAT090,DEVELOPMENTAL MATHEMATICS
ENGL090,DEVELOPMENTAL ENGLISH
CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.
CMPS316,PROGRAMMING LANGUAGES
CMPS314,ALGORITHMS
MATH480,LINEAR PROGRAMMING.
MATH330,DISCRETE MATHEMATHICS
MATH441,NUMERICAL ANALYSIS
EENG2151,LANGUAGE METHODS FOR PRIMARY SCHOOL TEACHERS I
MGMT1014,FUNDAMENTALS OF MANAGEMENT
EMAT1101,COLLEGE MATH FOR PRIMARY SCHOOL TEACHERS I
ENGL3105,LANGUAGE AND COMMUNICATION
PHIL1014,ETHICS
EDUC240,EDUCATIONAL PSYCHOLOGY 1
CMPS332,P C REPAIR
ACTG201,PRINCIPLES OF ACCOUNTING I
CMPS2111,SYSTEMS ANALYSIS
CMPS2151,WEB DEVELOPMENT
CMPS1212,BASIC PC REPAIR
ENGL1025,COLLEGE ENGLISH II
HIST1014,INTRODUCTION TO BELIZEAN HISTORY
PSYC1014,INTRODUCTION TO PSYCHOLOGY
SPAN1025,LEVEL 2 LOWER-INTERMEDIATE SPANISH
CMPS2992,PROJECT
CMPS1014,INTRODUCTION TO COMPUTER STUDIES
CMPS2131,DATA STRUCTURES
CMPS2252,OPERATING SYSTEMS
CMPS2212,GUI PROGRAMMING
CMPS2232,OBJECT ORIENTED SYSTEM DEVELOPMENT
SPAN1015,LEVEL 1 BEGINNERS SPANISH
SOCL1014,INTRODUCTION TO SOCIOLOGY
SPAN202,LEVEL 4 HIGH-INTERMEDIATE SPANISH
MATH104,CALCULUS I
PHYS241,GENERAL PHYSICS I
CMPS242,GUI PROGRAMMING
PLAS0014,SPANISH PLACEMENT EXAM
SPAN2015,LEVEL 3 INTERMEDIATE SPANISH
MATH090,REMEDIAL MATH
ENG090,REMEDIAL ENGLISH
PHIL210,ETHICS
MATH203,CALCULUS II
CMPS319,SYSTEMS ENGINEERING
ECON101,INTRODUCTION TO ECONOMICS
MATH102,COMPLEX NUMBERS & VECTORS
CMCN209,COMMUNICATION SKILLS
MATH3251,CALCULUS III
MATH3151,LINEAR ALGEBRA
