GradeID,STUID,COURSECODE,COURSEGRADE
1,1,CMPS142,F
2,1,CMPS145,D+
3,1,HIST201,B
4,4,CMPS247,C
5,4,MATH125,F
6,4,CMPS156,C
7,4,CMPS245,A-
8,4,MATH210,WP
9,4,CMPS156,C
10,4,CMPS146,C
11,4,CMPS245,C
12,4,CMPS248,B+
13,4,CMPS155,C+
14,4,CMPS157,C
15,4,MATH125,B
16,4,CMPS260,B+
17,4,SOCL221,B
18,4,CMPS156,F
19,4,MATH124,D+
20,4,CMPS246,C+
21,4,MATH124,C
22,4,MATH210,C
23,4,CMPS256,B
24,4,CMPS255,C+
25,89,CMPS2171,B
26,89,CMPS2191,F
27,89,CMPS1131,WP
28,89,HIST201,A-
29,89,PHYS1015,C+
30,89,ENGL111,RE
31,89,ENGL112,B+
32,89,MATH1201,RE
33,89,MATH1302,C
34,89,MATH2201,C
35,89,PHYS1015L,A-
36,89,CMPS2191,F
37,89,SPAN111,B+
38,89,GSTU101,A
39,89,MAT103,RE
40,89,CMPS213,B
41,89,CMPS2191,C
42,89,CMPS1232,D
43,89,CMPS142,C
44,89,CMPS142,B+
45,89,CMPS157,B
46,89,MGMT101,A-
47,89,PHYS1015,RE
48,89,CMPS2171,F
49,113,CMPS155,D
50,113,CMPS213,B
51,113,CMPS145,B
52,113,ENGL112,D+
53,113,GSTU101,B
54,113,MATH101,D+
55,113,MATH101,B+
56,113,CMPS156,F
57,113,MAT103,A
58,113,CMPS244,B
59,113,GSTU101,D+
60,113,ENGL111,C
61,113,CMPS142,D+
62,113,CMPS245,C+
63,113,HIST201,C+
64,113,CMPS144,C+
65,113,CMPS157,C+
66,113,SPAN111,F
67,113,CMPS146,F
68,113,HIST201,D+
69,113,SPAN111,C
70,113,CMPS142,B+
71,113,SOCL221,C+
72,113,PSYC221,C+
73,113,CMPS146,D+
74,113,CMPS155,C
75,113,CMPS157,D+
76,113,ENGL112,C
77,113,MAT103,WP
78,113,CMPS247,B
79,113,CMPS255,C
80,551,BIOL090,P
81,551,MGMT101,C+
82,551,CMPS140,F
83,551,CHEM090,P
84,639,ENGL1014,F
85,639,MATH1151,F
86,639,MATH1201,F
87,639,CMPS1131,F
88,639,CMPS1134,F
89,653,NRMP101,RE
90,653,CMPS150,D
91,653,MATH121,B
92,653,BCOM210,RE
93,653,SPAN111,RE
94,653,ACTG202,D
95,749,CMPS142,WP
96,749,CMPS140,F
97,749,MATH101,WF
98,1217,CHEM090,RE
99,1217,MATH121,B+
100,1217,CMPS157,B+
101,1217,ENGL112,B
102,1217,ENGL111,B
103,1217,CMPS144,C+
104,1217,CMPS156,B+
105,1217,CMPS246,B
106,1217,MATH210,B
107,1217,CMPS256,B+
108,1217,CMPS260,B
109,1217,PSYC221,B
110,1217,MATH125,B+
111,1217,CMPS245,B+
112,1217,HIST201,C+
113,1217,SPAN111,A-
114,1217,CMPS247,A-
115,1217,SOCL221,B
116,1217,CMPS255,B+
117,1217,MAT090,RE
118,1217,GSTU101,A-
119,1217,CMPS145,C+
120,1217,MATH124,C+
121,1217,ENGL090,RE
122,1217,CMPS146,B
123,1217,CMPS155,B
124,1217,CMPS248,A-
125,1303,CMPS260,B
126,1303,CMPS247,A-
127,1303,CMPS312,C+
128,1303,CMPS146,B+
129,1303,CMPS157,B+
130,1303,CMPS155,B
131,1303,CMPS256,B
132,1303,CMPS248,B
133,1303,CMPS316,B
134,1303,CMPS245,C+
135,1303,CMPS144,B
136,1303,CMPS156,B
137,1303,CMPS246,B+
138,1303,SOCL221,C+
139,1303,CMPS314,D
140,1303,MATH480,B+
141,1303,CMPS255,C+
142,1303,MATH330,B
143,1303,MATH441,B
144,1353,GSTU101,F
145,1353,CMPS145,D
146,1353,SPAN111,D
147,1353,CMPS155,F
148,1353,EENG2151,B+
149,1353,MGMT1014,C+
150,1353,CMPS140,D
151,1353,EMAT1101,B+
152,1353,MATH121,F
153,1353,ENGL3105,B+
154,1353,PHIL1014,B+
155,1353,ENGL111,F
156,1353,SPAN111,C
157,1353,CMPS146,NG
158,1652,ENGL111,B
159,1652,CMPS146,C
160,1652,ENGL112,C
161,1652,MATH124,D
162,1652,GSTU101,D+
163,1652,SPAN111,C
164,1652,CMPS155,C
165,1652,CMPS157,D+
166,1652,MATH125,F
167,1652,HIST201,C+
168,1652,MATH125,D+
169,1652,SOCL221,NG
170,1652,PSYC221,F
171,1652,CMPS145,A-
172,1652,CMPS248,W
173,1652,CMPS247,D
174,1652,SOCL221,RE
175,1652,CMPS247,F
176,1652,MATH121,C+
177,1652,PSYC221,RE
178,1652,CMPS156,F
179,1652,CMPS247,RE
180,1652,ENGL112,C+
181,1652,PSYC221,C+
182,1652,SOCL221,D+
183,2030,EDUC240,A-
184,2030,CMPS157,B
185,2030,CMPS246,C
186,2030,CMPS255,C
187,2030,CMPS155,C+
188,2030,CMPS156,D+
189,2030,CMPS260,B+
190,2030,CMPS332,A
191,2030,CMPS248,A-
192,2030,MATH124,C
193,2077,CMPS140,C+
194,2077,GSTU101,D+
195,2077,ENGL111,F
196,2077,MGMT101,F
197,2077,ACTG201,C
198,2077,ENGL090,F
199,2158,ENGL1014,B+
200,2158,MGMT1014,B+
