STUID,GENDER,ETHNICITY,CITY,DISTRICT,FEEDER,PROGRAMSTART,CODE,PROGRAM,DEGREEID,DEGREE,PROGRAMSTATUS,GRADDATE,PROGRAMEND,ENROLLEDSEMESTER
1,F,Creole,BELMOPAN CITY,CAYO,BELIZE TECHNICAL COLLEGE,9/26/2000,AINT,Information Technology,11,Associate Degree,Dropped,,,2003-1
4,F,Creole,BELIZE CITY,BELIZE,BELIZE TECHNICAL COLLEGE,8/20/2001,AINT,Information Technology,11,Associate Degree,Graduated,6/13/2004,5/27/2004,2001-1
89,M,Creole,BELIZE CITY,BELIZE,UNIVERSITY OF BELIZE,1/17/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2014-1
113,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/20/2001,AINT,Information Technology,11,Associate Degree,Terminated,,,2001-2
551,M,Mestizo,BELMOPAN,CAYO,UNIVERSITY OF BELIZE,8/20/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
639,M,Creole,CAYO,BELIZE,BELMOPAN COMPREHENSIVE SCHOOL,8/12/2013,AINT,Information Technology,11,Associate Degree,Terminated,,,2013-1
653,M,Creole,BELIZE CITY,BELIZE,UNIVERSITY OF BELIZE,8/1/2001,AINT,Information Technology,11,Associate Degree,Terminated,,1/15/2002,2002-1
749,M,East Indian,SANTA ELENA TOWN,CAYO,UNIVERSITY OF BELIZE,8/13/2007,AINT,Information Technology,11,Associate Degree,Terminated,,,2007-1
1217,F,Mestizo,CAYO,CAYO,ST. JOHN'S COLLEGE,1/18/2001,AINT,Information Technology,11,Associate Degree,Graduated,6/13/2004,5/27/2004,2001-1
1303,M,Garifuna,DANGRIGA TOWN,STANN CREEK,UNIVERSITY OF BELIZE,8/19/2002,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-2
1353,M,East Indian,CAMALOTE VILLAGE,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/20/2001,AINT,Information Technology,11,Associate Degree,Dropped,,,2001-1
1652,M,Creole,BELMOPAN CITY,CAYO,COROZAL COMMUNITY COLLEGE,8/20/2001,AINT,Information Technology,11,Associate Degree,Terminated,,,2001-1
2030,F,Other,CAYO,CAYO,SACRED HEART JUNIOR COLLEGE,1/19/2002,AINT,Information Technology,11,Associate Degree,Dropped,,,2002-1
2077,M,Creole,BELIZE CITY,BELIZE,ANGLICAN CATHEDRAL COLLEGE,8/20/2001,AINT,Information Technology,11,Associate Degree,Terminated,,,2001-1
2158,M,Garifuna,BELMOPAN CITY,CAYO,STANN CREEK ECUMENICAL HIGH SC,3/25/2011,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2016,5/16/2016,2011-1
2515,M,Mestizo,ORANGE WALK,ORANGE WALK,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/13/2007,AINT,Information Technology,11,Associate Degree,Transferred,,,2007-1
2694,M,Creole,-,CAYO,SACRED HEART JUNIOR COLLEGE,1/1/2020,AINT,Information Technology,11,Associate Degree,Terminated,,,2019-2
2788,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,5/27/2011,AINT,Information Technology,11,Associate Degree,Terminated,,,2011-1
2792,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,1/16/2006,AINT,Information Technology,11,Associate Degree,Graduated,6/9/2007,5/19/2006,2005-2
3136,M,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/19/2013,AINT,Information Technology,11,Associate Degree,Terminated,,,2013-1
3301,M,Mestizo,BELIZE CITY,BELIZE,*UNKNOWN,8/20/2001,AINT,Information Technology,11,Associate Degree,Terminated,,,2001-1
3573,M,Mayan,ROARING CREEK VILLAGE,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/19/2002,AINT,Information Technology,11,Associate Degree,Dropped,,,2003-3
3593,F,Mestizo,COROZAL TOWN,COROZAL,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/6/2002,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-1
3641,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,UNIVERSITY OF BELIZE,1/13/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2005,5/30/2005,2002-2
3845,F,Mestizo,BELMOPAN CITY,CAYO,MUFFLES COLLEGE,8/6/2002,AINT,Information Technology,11,Associate Degree,Graduated,12/11/2004,12/11/2004,2002-2
3864,M,Creole,LADYVILLE VILLAGE,BELIZE,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-2
3874,M,Creole,BELIZE CITY,BELIZE,UNIVERSITY OF BELIZE,8/17/2009,AINT,Information Technology,11,Associate Degree,Transferred,,,2009-1
3880,F,Creole,PUNTA GORDA,TOLEDO,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/6/2002,AINT,Information Technology,11,Associate Degree,Dropped,,,2002-2
4258,M,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/14/2006,AINT,Information Technology,11,Associate Degree,Graduated,1/28/2012,5/24/2011,2006-1
4369,M,Creole,DANGRIGA TOWN,STANN CREEK,UNIVERSITY OF BELIZE,5/18/2010,AINT,Information Technology,11,Associate Degree,Dropped,,,2012-2
4395,M,Ketchi,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/15/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
4396,F,Garifuna,PUNTA GORDA,TOLEDO,UNIVERSITY OF BELIZE,8/18/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
4407,M,Other,BELIZE CITY,BELIZE,*UNKNOWN,8/16/2002,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2005,5/30/2005,2002-2
4446,F,Other,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2005-1
4484,M,Mestizo,,CAYO,UNIVERSITY OF BELIZE,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2005,5/30/2005,2003-1
4508,F,Garifuna,PUNTA GORDA,TOLEDO,*UNKNOWN,1/13/2003,AINT,Information Technology,11,Associate Degree,Dropped,,,2002-2
4518,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2005,5/30/2005,2003-3
4538,M,Oriental,BELIZE CITY,BELIZE,KING'S COLLEGE,1/13/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2003-1
4566,M,Mestizo,BELMOPAN CITY,CAYO,COROZAL JUNIOR COLLEGE,1/13/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2003-1
4584,M,Creole,BELIZE CITY,BELIZE,UNIVERSITY OF BELIZE,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
4602,M,Mayan,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/14/2008,5/19/2008,2003-1
4639,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/14/2008,5/19/2008,2003-1
4672,F,Mestizo,,BELIZE,SACRED HEART COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2003-1
4699,M,Creole,-,CAYO,ANGLICAN CATHEDRAL COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-2
4706,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,1/1/2021,AINT,Information Technology,11,Associate Degree,In Process,,,2020-2
4716,M,Mestizo,BELMOPAN,CAYO,UNIVERSITY OF BELIZE,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/9/2007,5/18/2007,2005-2
4751,M,Mestizo,-,BELIZE,EDWARD P. YORKE,8/18/2003,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-1
4758,M,Garifuna,BELMOPAN CITY,CAYO,INDEPENDENCE HIGH SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/14/2008,5/19/2008,2003-1
4788,M,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/13/2007,AINT,Information Technology,11,Associate Degree,Terminated,,,2007-1
4798,F,East Indian,LADYVILLE VILLAGE,BELIZE,BELIZE TECHNICAL COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-1
4818,M,Creole,BELIZE CITY,BELIZE,EDWARD P. YORKE,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-1
4829,M,Mestizo,BELIZE CITY,BELIZE,*WESLEY COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-2
4859,F,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/13/2007,AINT,Information Technology,11,Associate Degree,Dropped,,,2007-1
4869,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,ESCUELA MEXICO,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-1
4880,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,INDEPENDENCE HIGH SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2003-1
4920,F,Garifuna,BELIZE CITY,BELIZE,UNIVERSITY OF BELIZE,8/18/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
4929,M,Ketchi,BELMOPAN CITY,CAYO,TOLEDO COMMUNITY COLLEGE,1/14/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
4934,M,Garifuna,COROZAL DISTRICT,COROZAL,BELIZE CHRISTIAN ACADEMY,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,7/18/2008,5/19/2008,2003-1
4963,F,Oriental,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2005,5/30/2005,2003-1
4987,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/9/2007,5/19/2006,2004-1
5016,M,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5031,M,Garifuna,BELIZE CITY,BELIZE,*WESLEY COLLEGE,12/15/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-2
5055,M,Mayan,TOLEDO DISTRICT,TOLEDO,UNIVERSITY OF BELIZE,1/17/2011,AINT,Information Technology,11,Associate Degree,Dropped,,,2010-2
5091,M,Mestizo,,CAYO,SACRED HEART COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2005,5/30/2005,2003-2
5116,M,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/13/2007,AINT,Information Technology,11,Associate Degree,Terminated,,,2007-1
5125,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,MOPAN TECHNICAL HIGH SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-1
5142,F,Creole,ROARING CREEK VILLAGE,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,1/17/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-2
5148,M,Mayan,ROARING CREEK VILLAGE,CAYO,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,12/7/2006,12/7/2006,2004-1
5165,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,MUFFLES JUNIOR COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Dropped,,,2003-1
5167,M,Mestizo,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/16/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5181,F,Mestizo,SANTA ELENA,CAYO,SACRED HEART COLLEGE,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-1
5207,M,Mestizo,BULLET TREE FALLS,CAYO,EDEN SDA HIGH,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2003-1
